G16,G23,G21,G10,G07,G27,G28,G08,G18,G26,G02,G31
31.0,31.0,2072.0,31.0,822.0,31,113.0,31.0,31.0,31.0,38.0,1082.0
33.0,33.0,2363.0,33.0,823.0,33,,33.0,33.0,33.0,168.0,2129.0
34.0,34.0,2365.0,34.0,825.0,34,,34.0,34.0,34.0,171.0,2130.0
35.0,35.0,2366.0,35.0,826.0,35,,35.0,35.0,35.0,172.0,2131.0
36.0,36.0,2368.0,36.0,827.0,36,,36.0,36.0,36.0,174.0,2132.0
37.0,37.0,2369.0,37.0,829.0,37,,37.0,37.0,37.0,176.0,2138.0
38.0,38.0,2385.0,38.0,830.0,38,,38.0,38.0,38.0,184.0,2139.0
161.0,161.0,2386.0,161.0,873.0,161,,161.0,161.0,161.0,185.0,2140.0
163.0,163.0,2388.0,163.0,915.0,163,,163.0,163.0,163.0,186.0,2141.0
164.0,164.0,2395.0,164.0,2394.0,164,,164.0,164.0,164.0,188.0,2142.0
167.0,167.0,2396.0,167.0,2439.0,167,,167.0,167.0,167.0,194.0,2361.0
168.0,168.0,2397.0,168.0,,168,,168.0,168.0,168.0,195.0,
171.0,171.0,2400.0,171.0,,171,,171.0,171.0,171.0,196.0,
172.0,172.0,2401.0,172.0,,172,,172.0,172.0,172.0,198.0,
173.0,173.0,2403.0,173.0,,173,,173.0,173.0,173.0,229.0,
174.0,174.0,2404.0,174.0,,174,,174.0,174.0,174.0,232.0,
175.0,175.0,2405.0,175.0,,175,,175.0,175.0,175.0,233.0,
176.0,176.0,2408.0,176.0,,176,,176.0,176.0,176.0,251.0,
177.0,177.0,2409.0,177.0,,177,,177.0,177.0,177.0,258.0,
178.0,178.0,2410.0,178.0,,178,,178.0,178.0,178.0,260.0,
181.0,181.0,2426.0,181.0,,181,,181.0,181.0,181.0,261.0,
183.0,183.0,2429.0,183.0,,183,,183.0,183.0,183.0,262.0,
184.0,184.0,2433.0,184.0,,184,,184.0,184.0,184.0,263.0,
185.0,185.0,2434.0,185.0,,185,,185.0,185.0,185.0,264.0,
186.0,186.0,2435.0,186.0,,186,,187.0,186.0,186.0,266.0,
187.0,187.0,2437.0,187.0,,187,,188.0,187.0,187.0,267.0,
188.0,188.0,2438.0,188.0,,188,,189.0,188.0,188.0,268.0,
189.0,189.0,2441.0,189.0,,189,,191.0,189.0,189.0,270.0,
191.0,191.0,2444.0,191.0,,191,,192.0,191.0,191.0,272.0,
192.0,192.0,2446.0,192.0,,192,,193.0,192.0,192.0,273.0,
193.0,193.0,2447.0,193.0,,193,,195.0,193.0,193.0,274.0,
195.0,195.0,2449.0,195.0,,195,,196.0,195.0,195.0,278.0,
196.0,196.0,2450.0,196.0,,196,,198.0,196.0,196.0,279.0,
198.0,198.0,2451.0,198.0,,198,,199.0,198.0,198.0,280.0,
199.0,199.0,2456.0,199.0,,199,,201.0,199.0,199.0,281.0,
201.0,201.0,2526.0,201.0,,201,,203.0,201.0,201.0,284.0,
203.0,203.0,2556.0,203.0,,203,,204.0,203.0,203.0,285.0,
204.0,204.0,2558.0,204.0,,204,,205.0,204.0,204.0,286.0,
205.0,205.0,2559.0,205.0,,205,,206.0,205.0,205.0,287.0,
206.0,206.0,2563.0,206.0,,206,,207.0,206.0,206.0,290.0,
207.0,207.0,2565.0,207.0,,207,,208.0,207.0,207.0,358.0,
208.0,208.0,2566.0,208.0,,208,,231.0,208.0,208.0,,
231.0,231.0,2567.0,231.0,,231,,232.0,231.0,231.0,,
232.0,232.0,2568.0,232.0,,232,,233.0,232.0,232.0,,
233.0,233.0,2569.0,233.0,,233,,235.0,233.0,233.0,,
235.0,235.0,2570.0,235.0,,235,,254.0,235.0,235.0,,
254.0,254.0,2571.0,254.0,,254,,255.0,254.0,254.0,,
255.0,255.0,2573.0,255.0,,255,,257.0,255.0,255.0,,
257.0,257.0,2574.0,257.0,,257,,258.0,257.0,257.0,,
258.0,258.0,2575.0,258.0,,258,,261.0,258.0,258.0,,
261.0,261.0,2576.0,261.0,,261,,263.0,261.0,261.0,,
263.0,263.0,2577.0,263.0,,263,,267.0,263.0,263.0,,
267.0,267.0,2578.0,267.0,,267,,269.0,267.0,267.0,,
269.0,269.0,2579.0,269.0,,269,,271.0,269.0,269.0,,
271.0,271.0,2580.0,271.0,,271,,273.0,271.0,271.0,,
273.0,273.0,2597.0,273.0,,273,,275.0,273.0,273.0,,
275.0,275.0,2603.0,275.0,,275,,276.0,275.0,275.0,,
276.0,276.0,2605.0,276.0,,276,,279.0,276.0,276.0,,
279.0,279.0,2620.0,279.0,,279,,285.0,279.0,279.0,,
284.0,284.0,2633.0,284.0,,284,,287.0,285.0,284.0,,
285.0,285.0,2636.0,285.0,,285,,288.0,286.0,285.0,,
286.0,286.0,2638.0,286.0,,286,,291.0,287.0,286.0,,
287.0,287.0,2639.0,287.0,,287,,293.0,288.0,287.0,,
288.0,288.0,2645.0,288.0,,288,,294.0,291.0,288.0,,
291.0,291.0,2647.0,291.0,,289,,295.0,293.0,291.0,,
293.0,293.0,2725.0,293.0,,291,,296.0,294.0,293.0,,
294.0,294.0,2726.0,294.0,,293,,297.0,295.0,294.0,,
295.0,295.0,2729.0,295.0,,294,,298.0,296.0,295.0,,
296.0,296.0,2783.0,296.0,,295,,301.0,297.0,296.0,,
297.0,297.0,2789.0,297.0,,296,,303.0,298.0,297.0,,
298.0,298.0,2843.0,298.0,,297,,304.0,301.0,298.0,,
301.0,301.0,2845.0,301.0,,298,,307.0,303.0,301.0,,
303.0,303.0,2853.0,303.0,,301,,308.0,304.0,303.0,,
304.0,304.0,2855.0,304.0,,303,,311.0,307.0,304.0,,
307.0,307.0,2858.0,307.0,,304,,312.0,308.0,307.0,,
308.0,308.0,2970.0,308.0,,307,,313.0,311.0,308.0,,
311.0,311.0,2993.0,311.0,,308,,314.0,312.0,311.0,,
312.0,312.0,2998.0,312.0,,311,,317.0,313.0,312.0,,
313.0,313.0,3006.0,313.0,,312,,318.0,314.0,313.0,,
314.0,314.0,3030.0,314.0,,313,,319.0,317.0,314.0,,
317.0,317.0,3087.0,317.0,,314,,335.0,318.0,317.0,,
318.0,318.0,3091.0,318.0,,317,,337.0,319.0,318.0,,
319.0,319.0,3093.0,319.0,,318,,338.0,334.0,319.0,,
334.0,334.0,3095.0,334.0,,319,,341.0,335.0,334.0,,
335.0,335.0,3098.0,338.0,,335,,342.0,337.0,335.0,,
337.0,337.0,3103.0,341.0,,338,,343.0,338.0,337.0,,
338.0,338.0,3155.0,342.0,,341,,344.0,341.0,338.0,,
341.0,341.0,3165.0,343.0,,342,,345.0,342.0,341.0,,
342.0,342.0,3168.0,344.0,,343,,346.0,343.0,342.0,,
343.0,343.0,3173.0,345.0,,344,,347.0,344.0,343.0,,
344.0,344.0,3175.0,346.0,,345,,355.0,345.0,344.0,,
345.0,345.0,3201.0,347.0,,346,,358.0,346.0,345.0,,
346.0,346.0,3216.0,355.0,,347,,359.0,347.0,346.0,,
347.0,347.0,3226.0,358.0,,355,,361.0,355.0,347.0,,
355.0,355.0,3230.0,361.0,,358,,362.0,358.0,355.0,,
358.0,358.0,3240.0,362.0,,361,,363.0,361.0,358.0,,
361.0,361.0,3243.0,363.0,,362,,368.0,362.0,359.0,,
362.0,362.0,3245.0,368.0,,363,,369.0,363.0,361.0,,
363.0,363.0,3249.0,369.0,,368,,570.0,368.0,362.0,,
368.0,368.0,3279.0,923.0,,369,,2008.0,369.0,363.0,,
369.0,369.0,3283.0,1251.0,,923,,2009.0,923.0,368.0,,
923.0,923.0,3286.0,1504.0,,1251,,2010.0,1251.0,369.0,,
1251.0,1251.0,3293.0,1507.0,,1504,,2011.0,1504.0,923.0,,
1504.0,1504.0,3295.0,2001.0,,1507,,2013.0,1507.0,1251.0,,
1507.0,1507.0,3403.0,2004.0,,2001,,2014.0,2001.0,1504.0,,
2001.0,2001.0,3404.0,2005.0,,2004,,2015.0,2004.0,1507.0,,
2004.0,2004.0,3409.0,2008.0,,2005,,2029.0,2005.0,2001.0,,
2005.0,2005.0,3430.0,2009.0,,2007,,2031.0,2008.0,2004.0,,
2007.0,2008.0,3463.0,2029.0,,2008,,2034.0,2009.0,2005.0,,
2008.0,2009.0,3487.0,2131.0,,2009,,2035.0,2029.0,2008.0,,
2009.0,2029.0,3505.0,2133.0,,2029,,2151.0,2133.0,2009.0,,
2029.0,2131.0,3540.0,2171.0,,2133,,2176.0,2171.0,2029.0,,
2131.0,2133.0,3573.0,2173.0,,2171,,2355.0,2173.0,2131.0,,
2133.0,2171.0,3575.0,2174.0,,2173,,2362.0,2174.0,2133.0,,
2171.0,2173.0,3598.0,2176.0,,2174,,2363.0,2176.0,2171.0,,
2173.0,2174.0,,2177.0,,2176,,2364.0,2177.0,2173.0,,
2174.0,2176.0,,2238.0,,2177,,2395.0,2238.0,2174.0,,
2176.0,2177.0,,2271.0,,2238,,2401.0,2271.0,2176.0,,
2177.0,2238.0,,2347.0,,2271,,2403.0,2347.0,2177.0,,
2238.0,2271.0,,2361.0,,2347,,2438.0,2361.0,2238.0,,
2271.0,2347.0,,2362.0,,2361,,2439.0,2362.0,2347.0,,
2361.0,2361.0,,2363.0,,2362,,2440.0,2363.0,2361.0,,
2362.0,2362.0,,2385.0,,2363,,2443.0,2395.0,2362.0,,
2363.0,2363.0,,2395.0,,2385,,2444.0,2397.0,2363.0,,
2395.0,2385.0,,2397.0,,2395,,2446.0,2404.0,2395.0,,
2397.0,2395.0,,2404.0,,2397,,2448.0,2431.0,2397.0,,
2404.0,2397.0,,2431.0,,2404,,2450.0,2434.0,2404.0,,
2431.0,2404.0,,2434.0,,2405,,2451.0,2437.0,2431.0,,
2434.0,2431.0,,2437.0,,2431,,2454.0,2438.0,2434.0,,
2437.0,2434.0,,2438.0,,2434,,2562.0,2441.0,2437.0,,
2438.0,2437.0,,2441.0,,2437,,2563.0,2443.0,2438.0,,
2441.0,2438.0,,2443.0,,2438,,2565.0,2444.0,2441.0,,
2443.0,2441.0,,2444.0,,2441,,2568.0,2446.0,2443.0,,
2444.0,2443.0,,2446.0,,2443,,2570.0,2447.0,2444.0,,
2446.0,2444.0,,2447.0,,2444,,2571.0,2448.0,2446.0,,
2447.0,2446.0,,2448.0,,2446,,2572.0,2563.0,2447.0,,
2448.0,2447.0,,2563.0,,2447,,2573.0,2565.0,2448.0,,
2563.0,2448.0,,2565.0,,2448,,2574.0,2567.0,2556.0,,
2565.0,2563.0,,2567.0,,2563,,2575.0,2568.0,2563.0,,
2567.0,2565.0,,2568.0,,2565,,2578.0,2574.0,2565.0,,
2568.0,2567.0,,2573.0,,2567,,2579.0,2578.0,2567.0,,
2573.0,2568.0,,2574.0,,2568,,2580.0,2579.0,2568.0,,
2574.0,2573.0,,2578.0,,2573,,2581.0,3098.0,2573.0,,
2578.0,2574.0,,2579.0,,2574,,2583.0,,2574.0,,
2579.0,2578.0,,3098.0,,2578,,3201.0,,2578.0,,
3098.0,2579.0,,,,2579,,,,2579.0,,
,,,,,3098,,,,,,
