G27,G08,G07,G26,G21,G10,G18,G31,G16,G23
34,34.0,251.0,34,34.0,34,34,311.0,34,34
35,35.0,253.0,35,35.0,35,35,314.0,35,35
37,37.0,254.0,37,37.0,37,37,315.0,37,37
161,161.0,256.0,161,161.0,161,161,320.0,161,161
162,162.0,257.0,162,162.0,162,162,321.0,162,162
244,244.0,258.0,244,244.0,244,244,,244,244
245,245.0,288.0,245,245.0,245,245,,245,245
247,248.0,,247,248.0,247,247,,247,247
248,251.0,,248,251.0,248,248,,248,248
251,253.0,,251,253.0,251,251,,251,251
253,254.0,,253,254.0,253,253,,253,253
254,255.0,,254,255.0,254,254,,254,254
255,256.0,,255,256.0,255,255,,255,255
256,257.0,,256,257.0,256,256,,256,256
257,258.0,,257,258.0,257,257,,257,257
258,259.0,,258,259.0,258,258,,258,258
259,261.0,,259,261.0,259,259,,259,259
261,263.0,,261,263.0,261,261,,261,261
263,264.0,,263,268.0,263,263,,263,263
264,267.0,,264,281.0,264,264,,264,264
267,281.0,,267,284.0,267,267,,267,267
281,283.0,,281,285.0,281,281,,281,281
283,284.0,,283,287.0,283,283,,283,283
284,285.0,,284,288.0,284,284,,284,284
285,287.0,,285,289.0,285,285,,285,285
287,288.0,,287,315.0,287,287,,287,287
288,289.0,,288,317.0,288,288,,288,288
289,315.0,,289,318.0,289,289,,289,289
315,317.0,,315,395.0,315,315,,315,315
317,318.0,,317,398.0,317,317,,317,317
318,395.0,,318,399.0,318,318,,318,318
395,398.0,,395,401.0,395,395,,395,395
398,399.0,,398,402.0,398,398,,398,398
399,401.0,,399,403.0,399,399,,399,399
401,402.0,,401,404.0,401,401,,401,401
402,403.0,,402,406.0,402,402,,402,402
403,404.0,,403,407.0,403,403,,403,403
404,406.0,,404,408.0,404,404,,404,404
406,407.0,,406,731.0,406,406,,406,406
407,408.0,,407,734.0,407,407,,407,407
408,731.0,,408,735.0,408,408,,408,408
731,734.0,,731,737.0,731,731,,731,731
734,735.0,,734,738.0,734,734,,734,734
735,737.0,,735,739.0,735,735,,735,735
737,738.0,,737,1872.0,737,737,,737,737
738,739.0,,738,1873.0,738,738,,738,738
739,1872.0,,739,1875.0,739,739,,739,739
1872,1873.0,,1872,1876.0,1872,1872,,1872,1872
1873,1875.0,,1873,1878.0,1873,1873,,1873,1873
1875,1876.0,,1875,1879.0,1875,1875,,1875,1875
1876,1878.0,,1876,1961.0,1876,1876,,1876,1876
1878,1879.0,,1878,1962.0,1878,1878,,1878,1878
1879,1961.0,,1879,1963.0,1879,1879,,1879,1879
1961,1962.0,,1961,1964.0,1961,1961,,1961,1961
1962,1963.0,,1962,1966.0,1962,1962,,1962,1962
1963,1964.0,,1963,1967.0,1963,1963,,1963,1963
1964,1966.0,,1964,1968.0,1964,1964,,1964,1964
1966,1967.0,,1966,3481.0,1966,1966,,1966,1966
1967,1968.0,,1967,,1967,1967,,1967,1967
1968,3481.0,,1968,,1968,1968,,1968,1968
3481,,,3481,,3481,3481,,3481,3481
