G13,G20,G19,G12,G29,G27,G01,G30,G08,G06,G26,G05,G25,G16,G07,G24,G22,G04,G03,G32,G02,G14,G10,G11,G17,G09,G15,G31,G23,G18,G21
900.0,3420,9870.0,13140.0,24000.0,29550.0,45240.0,4860.0,35820.0,12000.0,34020.0,6750.0,19770.0,26610.0,780.0,10560.0,21360.0,28920.0,57960.0,18450.0,19710.0,30.0,6780.0,20700.0,120.0,67200.0,5190.0,27030.0,6720.0,30.0,50070.0
1230.0,3750,10200.0,13470.0,24330.0,42330.0,45570.0,5190.0,48150.0,16950.0,34350.0,7080.0,20100.0,37740.0,37890.0,10890.0,21690.0,29250.0,58290.0,18780.0,20040.0,360.0,7110.0,21030.0,6720.0,67530.0,5520.0,27360.0,7050.0,1860.0,50400.0
1560.0,25470,10530.0,13800.0,24660.0,42660.0,48840.0,78360.0,48480.0,17280.0,34680.0,30240.0,20430.0,38070.0,38220.0,11220.0,22020.0,29580.0,58620.0,19110.0,20370.0,690.0,8940.0,21360.0,7050.0,67860.0,5850.0,27690.0,7380.0,2190.0,50730.0
1890.0,27420,10860.0,14130.0,24990.0,42990.0,49170.0,78690.0,48810.0,17610.0,35010.0,30600.0,20760.0,38400.0,41820.0,11550.0,22350.0,29910.0,58950.0,19440.0,20700.0,1020.0,9270.0,21690.0,7380.0,68190.0,6180.0,28020.0,7710.0,2580.0,51060.0
2220.0,27750,11190.0,14460.0,25320.0,43320.0,52950.0,79020.0,49140.0,17940.0,35340.0,30930.0,21090.0,38730.0,42210.0,11880.0,22680.0,30240.0,59280.0,19770.0,21030.0,9030.0,10410.0,22020.0,7710.0,68520.0,6510.0,28350.0,8040.0,2910.0,51390.0
2550.0,28080,11520.0,14790.0,25650.0,43650.0,53280.0,79350.0,49470.0,18270.0,35670.0,33990.0,21420.0,39060.0,42870.0,12210.0,23010.0,63180.0,59610.0,20100.0,21360.0,9360.0,10740.0,22350.0,8040.0,68850.0,6840.0,28680.0,8370.0,31620.0,51720.0
2880.0,28410,11850.0,15120.0,25980.0,43980.0,54990.0,79680.0,49800.0,18600.0,36000.0,34320.0,21750.0,39390.0,43200.0,12540.0,23340.0,63510.0,59940.0,20430.0,21690.0,52590.0,11070.0,22680.0,8370.0,69180.0,7170.0,29010.0,8700.0,31950.0,52050.0
3210.0,28740,17520.0,,,44310.0,55320.0,80010.0,50130.0,18930.0,36330.0,83010.0,22080.0,39720.0,43530.0,12870.0,29370.0,63840.0,72510.0,26910.0,22020.0,52920.0,11400.0,23010.0,8700.0,,7500.0,29340.0,15090.0,32280.0,52380.0
13080.0,29070,17850.0,,,44640.0,55800.0,80340.0,50460.0,19260.0,,,,40050.0,43860.0,23760.0,29700.0,64170.0,,27240.0,28080.0,53250.0,11730.0,27390.0,9030.0,,16650.0,37200.0,39180.0,32610.0,64770.0
13410.0,29400,63150.0,,,,56130.0,,,22110.0,,,,48990.0,45240.0,24090.0,52980.0,64500.0,,50580.0,28410.0,53580.0,12060.0,27720.0,14280.0,,16980.0,37530.0,39510.0,32940.0,
,29730,63480.0,,,,56460.0,,,22440.0,,,,49320.0,45570.0,,53310.0,64830.0,,50910.0,72870.0,53910.0,15990.0,74190.0,14610.0,,40680.0,60480.0,39840.0,33270.0,
,30450,63810.0,,,,56790.0,,,69720.0,,,,72780.0,74640.0,,53640.0,65160.0,,51240.0,74580.0,54240.0,16320.0,74520.0,61020.0,,41010.0,60810.0,40170.0,33600.0,
,30780,64140.0,,,,57120.0,,,70050.0,,,,73110.0,74970.0,,53970.0,,,51570.0,74910.0,54570.0,42480.0,74850.0,61350.0,,41340.0,61140.0,40500.0,42990.0,
,31140,64470.0,,,,57450.0,,,70380.0,,,,73440.0,75300.0,,54300.0,,,51900.0,75240.0,59010.0,42810.0,75180.0,61680.0,,41670.0,61470.0,40830.0,84300.0,
,79350,64800.0,,,,57780.0,,,70710.0,,,,73770.0,75630.0,,54630.0,,,52230.0,75570.0,59340.0,43140.0,75510.0,62010.0,,42030.0,61800.0,41160.0,84630.0,
,79680,65130.0,,,,61740.0,,,71040.0,,,,74100.0,75960.0,,54960.0,,,52560.0,75900.0,85170.0,43470.0,75840.0,62340.0,,42600.0,62130.0,48270.0,84960.0,
,80010,,,,,62070.0,,,71370.0,,,,74430.0,76290.0,,,,,52890.0,76230.0,85500.0,43800.0,76170.0,62670.0,,,62460.0,,85290.0,
,80340,,,,,64890.0,,,71700.0,,,,74760.0,76620.0,,,,,,76560.0,85830.0,44130.0,,63000.0,,,62790.0,,85620.0,
,80670,,,,,65250.0,,,72030.0,,,,75090.0,,,,,,,79350.0,,44460.0,,69720.0,,,65670.0,,,
,81000,,,,,,,,,,,,75480.0,,,,,,,79680.0,,,,,,,,,,
,81330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
